id,name,section,provisional,country,url,image,pdf
74,SEALYHAM TERRIER,Small sized Terriers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/SEALYHAM-TERRIER-74.html,http://www.fci.be/Nomenclature/Illustrations/074g03.jpg,http://www.fci.be/Nomenclature/Standards/074g03-en.pdf
75,SKYE TERRIER,Small sized Terriers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/SKYE-TERRIER-75.html,http://www.fci.be/Nomenclature/Illustrations/075g03.jpg,http://www.fci.be/Nomenclature/Standards/075g03-en.pdf
76,STAFFORDSHIRE BULL TERRIER,Bull type Terriers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/STAFFORDSHIRE-BULL-TERRIER-76.html,http://www.fci.be/Nomenclature/Illustrations/076g03.jpg,http://www.fci.be/Nomenclature/Standards/076g03-en.pdf
77,CONTINENTAL TOY SPANIEL,Continental Toy Spaniel and Russian Toy,,"BELGIUM, FRANCE",http://www.fci.be/en/nomenclature/CONTINENTAL-TOY-SPANIEL-77.html,,http://www.fci.be/Nomenclature/Standards/077g09-en.pdf
78,WELSH TERRIER,Large and medium sized Terriers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/WELSH-TERRIER-78.html,http://www.fci.be/Nomenclature/Illustrations/078g03.jpg,http://www.fci.be/Nomenclature/Standards/078g03-en.pdf
80,GRIFFON BRUXELLOIS,Small Belgian Dogs,,BELGIUM,http://www.fci.be/en/nomenclature/GRIFFON-BRUXELLOIS-80.html,http://www.fci.be/Nomenclature/Illustrations/080g09-1.jpg,http://www.fci.be/Nomenclature/Standards/080g09-en.pdf
81,GRIFFON BELGE,Small Belgian Dogs,,BELGIUM,http://www.fci.be/en/nomenclature/GRIFFON-BELGE-81.html,,http://www.fci.be/Nomenclature/Standards/081g09-en.pdf
82,PETIT BRABANÇON,Small Belgian Dogs,,BELGIUM,http://www.fci.be/en/nomenclature/PETIT-BRABANCON-82.html,,http://www.fci.be/Nomenclature/Standards/082g09-en.pdf
83,SCHIPPERKE,Sheepdogs,,BELGIUM,http://www.fci.be/en/nomenclature/SCHIPPERKE-83.html,,http://www.fci.be/Nomenclature/Standards/083g01-en.pdf
84,BLOODHOUND,Scent hounds,,BELGIUM,http://www.fci.be/en/nomenclature/BLOODHOUND-84.html,,http://www.fci.be/Nomenclature/Standards/084g06-en.pdf
85,WEST HIGHLAND WHITE TERRIER,Small sized Terriers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/WEST-HIGHLAND-WHITE-TERRIER-85.html,http://www.fci.be/Nomenclature/Illustrations/085g03.jpg,http://www.fci.be/Nomenclature/Standards/085g03-en.pdf
86,YORKSHIRE TERRIER,Toy Terriers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/YORKSHIRE-TERRIER-86.html,http://www.fci.be/Nomenclature/Illustrations/086g03.jpg,http://www.fci.be/Nomenclature/Standards/086g03-en.pdf
87,CATALAN SHEEPDOG,Sheepdogs,,SPAIN,http://www.fci.be/en/nomenclature/CATALAN-SHEEPDOG-87.html,,http://www.fci.be/Nomenclature/Standards/087g01-en.pdf
88,SHETLAND SHEEPDOG,Sheepdogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/SHETLAND-SHEEPDOG-88.html,http://www.fci.be/Nomenclature/Illustrations/088g01.jpg,http://www.fci.be/Nomenclature/Standards/088g01-en.pdf
89,IBIZAN PODENCO,Primitive type - Hunting Dogs,,SPAIN,http://www.fci.be/en/nomenclature/IBIZAN-PODENCO-89.html,,http://www.fci.be/Nomenclature/Standards/089g05-en.pdf
90,BURGOS POINTING DOG,Continental Pointing Dogs,,SPAIN,http://www.fci.be/en/nomenclature/BURGOS-POINTING-DOG-90.html,,http://www.fci.be/Nomenclature/Standards/090g07-en.pdf
91,SPANISH MASTIFF,Molossian type,,SPAIN,http://www.fci.be/en/nomenclature/SPANISH-MASTIFF-91.html,,http://www.fci.be/Nomenclature/Standards/091g02-en.pdf
92,PYRENEAN MASTIFF,Molossian type,,SPAIN,http://www.fci.be/en/nomenclature/PYRENEAN-MASTIFF-92.html,,http://www.fci.be/Nomenclature/Standards/092g02-en.pdf
93,PORTUGUESE SHEEPDOG,Sheepdogs,,PORTUGAL,http://www.fci.be/en/nomenclature/PORTUGUESE-SHEEPDOG-93.html,http://www.fci.be/Nomenclature/Illustrations/093g01.jpg,http://www.fci.be/Nomenclature/Standards/093g01-en.pdf
94,PORTUGUESE WARREN HOUND-PORTUGUESE PODENGO,Primitive type - Hunting Dogs,,PORTUGAL,http://www.fci.be/en/nomenclature/PORTUGUESE-WARREN-HOUND-PORTUGUESE-PODENGO-94.html,http://www.fci.be/Nomenclature/Illustrations/094g05-1.jpg,http://www.fci.be/Nomenclature/Standards/094g05-en.pdf
95,BRITTANY SPANIEL,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/BRITTANY-SPANIEL-95.html,http://www.fci.be/Nomenclature/Illustrations/095g07.jpg,http://www.fci.be/Nomenclature/Standards/095g07-en.pdf
