id,name,group,section,provisional,country,url,image,pdf
284,BERGER FINNOIS DE LAPONIE,Chiens de type Spitz et de type primitif,Chiens nordiques de garde et de berger,,FINLANDE,https://www.fci.be/fr/nomenclature/BERGER-FINNOIS-DE-LAPONIE-284.html,,https://www.fci.be/Nomenclature/Standards/284g05-fr.pdf
285,LEVRIER ESPAGNOL,Lévriers,Lévriers à poil court,,ESPAGNE,https://www.fci.be/fr/nomenclature/LEVRIER-ESPAGNOL-285.html,,https://www.fci.be/Nomenclature/Standards/285g10-fr.pdf
286,AMERICAN STAFFORDSHIRE TERRIER,Terriers,Terriers de type bull,,ETATS-UNIS,https://www.fci.be/fr/nomenclature/AMERICAN-STAFFORDSHIRE-TERRIER-286.html,,https://www.fci.be/Nomenclature/Standards/286g03-fr.pdf
287,BOUVIER AUSTRALIEN,Chiens de berger et de bouvier,Chiens de bouvier (sauf chiens de bouvier suisses),,AUSTRALIE,https://www.fci.be/fr/nomenclature/BOUVIER-AUSTRALIEN-287.html,https://www.fci.be/Nomenclature/Illustrations/287g01.jpg,https://www.fci.be/Nomenclature/Standards/287g01-fr.pdf
288,CHIEN CHINOIS A CRÊTE,Chiens d'agrément et de compagnie,Chiens nus,,CHINE,https://www.fci.be/fr/nomenclature/CHIEN-CHINOIS-A-CRETE-288.html,https://www.fci.be/Nomenclature/Illustrations/288g09.jpg,https://www.fci.be/Nomenclature/Standards/288g09-fr.pdf
289,CHIEN DE BERGER ISLANDAIS,Chiens de type Spitz et de type primitif,Chiens nordiques de garde et de berger,,ISLANDE,https://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-ISLANDAIS-289.html,https://www.fci.be/Nomenclature/Illustrations/289g05.jpg,https://www.fci.be/Nomenclature/Standards/289g05-fr.pdf
290,BEAGLE-HARRIER,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,FRANCE,https://www.fci.be/fr/nomenclature/BEAGLE-HARRIER-290.html,https://www.fci.be/Nomenclature/Illustrations/290g06.jpg,https://www.fci.be/Nomenclature/Standards/290g06-fr.pdf
291,EURASIER,Chiens de type Spitz et de type primitif,Spitz asiatiques et races apparentées,,ALLEMAGNE,https://www.fci.be/fr/nomenclature/EURASIER-291.html,https://www.fci.be/Nomenclature/Illustrations/291g05-1.jpg,https://www.fci.be/Nomenclature/Standards/291g05-fr.pdf
292,DOGUE ARGENTIN,Chiens de type Pinscher et Schnauzer,Molossoïdes,,ARGENTINE,https://www.fci.be/fr/nomenclature/DOGUE-ARGENTIN-292.html,https://www.fci.be/Nomenclature/Illustrations/292g02.jpg,https://www.fci.be/Nomenclature/Standards/292g02-fr.pdf
293,KELPIE AUSTRALIEN,Chiens de berger et de bouvier,Chiens de berger,,AUSTRALIE,https://www.fci.be/fr/nomenclature/KELPIE-AUSTRALIEN-293.html,https://www.fci.be/Nomenclature/Illustrations/293g01.jpg,https://www.fci.be/Nomenclature/Standards/293g01-fr.pdf
294,CHIEN A LOUTRE,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/CHIEN-A-LOUTRE-294.html,https://www.fci.be/Nomenclature/Illustrations/294g06.jpg,https://www.fci.be/Nomenclature/Standards/294g06-fr.pdf
295,HARRIER,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/HARRIER-295.html,,https://www.fci.be/Nomenclature/Standards/295g06-fr.pdf
296,COLLIE A POIL COURT,Chiens de berger et de bouvier,Chiens de berger,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/COLLIE-A-POIL-COURT-296.html,https://www.fci.be/Nomenclature/Illustrations/296g01.jpg,https://www.fci.be/Nomenclature/Standards/296g01-fr.pdf
297,BORDER COLLIE,Chiens de berger et de bouvier,Chiens de berger,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/BORDER-COLLIE-297.html,https://www.fci.be/Nomenclature/Illustrations/297g01.jpg,https://www.fci.be/Nomenclature/Standards/297g01-fr.pdf
298,CHIEN D'EAU ROMAGNOL,Chiens rapporteurs de gibier,Chiens d'eau,,ITALIE,https://www.fci.be/fr/nomenclature/CHIEN-D-EAU-ROMAGNOL-298.html,https://www.fci.be/Nomenclature/Illustrations/298g08-1.jpg,https://www.fci.be/Nomenclature/Standards/298g08-fr.pdf
299,BRACHET ALLEMAND,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,ALLEMAGNE,https://www.fci.be/fr/nomenclature/BRACHET-ALLEMAND-299.html,,https://www.fci.be/Nomenclature/Standards/299g06-fr.pdf
300,CHIEN NOIR & FEU POUR LA CHASSE AU RATON LAVEUR,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,ETATS-UNIS,https://www.fci.be/fr/nomenclature/CHIEN-NOIR-FEU-POUR-LA-CHASSE-AU-RATON-LAVEUR-300.html,https://www.fci.be/Nomenclature/Illustrations/300g06.jpg,https://www.fci.be/Nomenclature/Standards/300g06-fr.pdf
301,CHIEN D'EAU AMERICAIN,Chiens rapporteurs de gibier,Chiens d'eau,,ETATS-UNIS,https://www.fci.be/fr/nomenclature/CHIEN-D-EAU-AMERICAIN-301.html,,https://www.fci.be/Nomenclature/Standards/301g08-fr.pdf
302,TERRIER IRLANDAIS GLEN OF IMAAL,Terriers,Terriers de grande et moyenne taille,,IRLANDE,https://www.fci.be/fr/nomenclature/TERRIER-IRLANDAIS-GLEN-OF-IMAAL-302.html,https://www.fci.be/Nomenclature/Illustrations/302g03.jpg,https://www.fci.be/Nomenclature/Standards/302g03-fr.pdf
303,AMERICAN FOXHOUND,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,ETATS-UNIS,https://www.fci.be/fr/nomenclature/AMERICAN-FOXHOUND-303.html,,https://www.fci.be/Nomenclature/Standards/303g06-fr.pdf
304,LAIKA RUSSO-EUROPEEN,Chiens de type Spitz et de type primitif,Chiens nordiques de chasse,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/LAIKA-RUSSO-EUROPEEN-304.html,,https://www.fci.be/Nomenclature/Standards/304g05-fr.pdf
305,LAIKA DE SIBERIE ORIENTALE,Chiens de type Spitz et de type primitif,Chiens nordiques de chasse,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/LAIKA-DE-SIBERIE-ORIENTALE-305.html,https://www.fci.be/Nomenclature/Illustrations/305g05-1.jpg,https://www.fci.be/Nomenclature/Standards/305g05-fr.pdf
306,LAIKA DE SIBERIE OCCIDENTALE,Chiens de type Spitz et de type primitif,Chiens nordiques de chasse,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/LAIKA-DE-SIBERIE-OCCIDENTALE-306.html,https://www.fci.be/Nomenclature/Illustrations/306g05.jpg,https://www.fci.be/Nomenclature/Standards/306g05-fr.pdf
307,AZAWAKH,Lévriers,Lévriers à poil court,,MALI,https://www.fci.be/fr/nomenclature/AZAWAKH-307.html,https://www.fci.be/Nomenclature/Illustrations/307g10-1.jpg,https://www.fci.be/Nomenclature/Standards/307g10-fr.pdf
308,SMOUS DES PAYS-BAS,Chiens de type Pinscher et Schnauzer,Type Pinscher et Schnauzer,,PAYS-BAS,https://www.fci.be/fr/nomenclature/SMOUS-DES-PAYS-BAS-308.html,,https://www.fci.be/Nomenclature/Standards/308g02-fr.pdf
309,SHAR PEI,Chiens de type Pinscher et Schnauzer,Molossoïdes,,CHINE,https://www.fci.be/fr/nomenclature/SHAR-PEI-309.html,,https://www.fci.be/Nomenclature/Standards/309g02-fr.pdf
310,CHIEN NU DU PEROU,Chiens de type Spitz et de type primitif,Type primitif,,PEROU,https://www.fci.be/fr/nomenclature/CHIEN-NU-DU-PEROU-310.html,https://www.fci.be/Nomenclature/Illustrations/310g05.jpg,https://www.fci.be/Nomenclature/Standards/310g05-fr.pdf
311,CHIEN-LOUP DE SAARLOOS,Chiens de berger et de bouvier,Chiens de berger,,PAYS-BAS,https://www.fci.be/fr/nomenclature/CHIEN-LOUP-DE-SAARLOOS-311.html,https://www.fci.be/Nomenclature/Illustrations/311g01-1.jpg,https://www.fci.be/Nomenclature/Standards/311g01-fr.pdf
