id,name,group,section,provisional,country,url,image,pdf
80,BRÜSSELER GRIFFON,Gesellschafts,Kleine belgische Hunderassen,,BELGIEN,https://www.fci.be/de/nomenclature/BRUSSELER-GRIFFON-80.html,,https://www.fci.be/Nomenclature/Standards/080g09-de.pdf
81,BELGISCHER GRIFFON,Gesellschafts,Kleine belgische Hunderassen,,BELGIEN,https://www.fci.be/de/nomenclature/BELGISCHER-GRIFFON-81.html,https://www.fci.be/Nomenclature/Illustrations/081g09.jpg,https://www.fci.be/Nomenclature/Standards/081g09-de.pdf
82,BRABANTER GRIFFON,Gesellschafts,Kleine belgische Hunderassen,,BELGIEN,https://www.fci.be/de/nomenclature/BRABANTER-GRIFFON-82.html,https://www.fci.be/Nomenclature/Illustrations/082g09.jpg,https://www.fci.be/Nomenclature/Standards/082g09-de.pdf
83,SCHIPPERKE,Hütehunde und Treibhunde,Schäferhunde,,BELGIEN,https://www.fci.be/de/nomenclature/SCHIPPERKE-83.html,,https://www.fci.be/Nomenclature/Standards/083g01-de.pdf
84,BLUTHUND,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,BELGIEN,https://www.fci.be/de/nomenclature/BLUTHUND-84.html,,https://www.fci.be/Nomenclature/Standards/084g06-de.pdf
85,WEST HIGHLAND WHITE TERRIER,Terrier,Niederläufige Terrier,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/WEST-HIGHLAND-WHITE-TERRIER-85.html,https://www.fci.be/Nomenclature/Illustrations/085g03.jpg,https://www.fci.be/Nomenclature/Standards/085g03-de.pdf
86,YORKSHIRE TERRIER,Terrier,Zwerg-Terriers,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/YORKSHIRE-TERRIER-86.html,https://www.fci.be/Nomenclature/Illustrations/086g03.jpg,https://www.fci.be/Nomenclature/Standards/086g03-de.pdf
87,KATALANISCHER SCHÄFERHUND,Hütehunde und Treibhunde,Schäferhunde,,SPANIEN,https://www.fci.be/de/nomenclature/KATALANISCHER-SCHAFERHUND-87.html,,https://www.fci.be/Nomenclature/Standards/087g01-de.pdf
88,SHETLAND SHEEPDOG,Hütehunde und Treibhunde,Schäferhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/SHETLAND-SHEEPDOG-88.html,https://www.fci.be/Nomenclature/Illustrations/088g01.jpg,https://www.fci.be/Nomenclature/Standards/088g01-de.pdf
89,IBIZA-PODENCO,Spitze und Hunde vom Urtyp,Urtyp - Hunde zur jagdlichen Verwendung,,SPANIEN,https://www.fci.be/de/nomenclature/IBIZA-PODENCO-89.html,,https://www.fci.be/Nomenclature/Standards/089g05-de.pdf
