id,name,group,section,provisional,country,url,image,pdf
120,Ірландський Сетер,Лягаві Собаки,Британські та Ірландські Пойнтери і Сетери,,Ireland,https://uku.com.ua/plem_work/breed_fci/07.html,,
121,Прямошерстий Ретривер,Ретривери - Спанієлі - Водяні Собаки,Ретривери,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
122,Лабрадор Ретривер,Ретривери - Спанієлі - Водяні Собаки,Ретривери,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
123,Філд Спанієль,Ретривери - Спанієлі - Водяні Собаки,Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
124,Ірландський Водяний Спанієль,Ретривери - Спанієлі - Водяні Собаки,Водяні собаки,,Ireland,https://uku.com.ua/plem_work/breed_fci/08.html,,
125,Англійський Спрингер Спанієль,Ретривери - Спанієлі - Водяні Собаки,Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
126,Вельш Спрингер Спанієль,Ретривери - Спанієлі - Водяні Собаки,Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
127,Сасекс Спанієль,Ретривери - Спанієлі - Водяні Собаки,Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/08.html,,
128,Кінг Чарльз Спанієль,Собаки-компаньйони та декоративні собаки,Англійські Той Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/09.html,,
129,Смоландський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Sweden,https://uku.com.ua/plem_work/breed_fci/06.html,,
130,Древер - Шведський Таксоподібний Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Sweden,https://uku.com.ua/plem_work/breed_fci/06.html,,
131,Гончак Шиллера,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Sweden,https://uku.com.ua/plem_work/breed_fci/06.html,,
132,Гончак Гамільтона,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Sweden,https://uku.com.ua/plem_work/breed_fci/06.html,,
133,Французький Лягавий Собака - Гасконський тип,Лягаві Собаки,Континентальні Лягаві Собаки,,France,https://uku.com.ua/plem_work/breed_fci/07.html,,
134,Французький Лягавий Собака - Піренейський тип,Лягаві Собаки,Континентальні Лягаві Собаки,,France,https://uku.com.ua/plem_work/breed_fci/07.html,,
135,Шведський Лапхунд,Шпіци та собаки примітивного типу,Північні Сторожові та Пастуші Собаки,,Sweden,https://uku.com.ua/plem_work/breed_fci/05.html,,
136,Кавалер Кінг Чарльз Спанієль,Собаки-компаньйони та декоративні собаки,Англійські Той Спанієлі,,Great Britain,https://uku.com.ua/plem_work/breed_fci/09.html,,
137,Піренейський Гірський Собака,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,France,https://uku.com.ua/plem_work/breed_fci/02.html,,
138,Піренейська Вівчарка гладкоморда,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,France,https://uku.com.ua/plem_work/breed_fci/01.html,,
139,Ірландський Тер’єр,Тер’єри,Тер’єри великого та середнього розмірів,,Ireland,https://uku.com.ua/plem_work/breed_fci/03.html,,
140,Бостон Тер’єр,Собаки-компаньйони та декоративні собаки,Маленькі Молоси,,USA,https://uku.com.ua/plem_work/breed_fci/09.html,,
141,Піренейська Вівчарка довгошерста,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,France,https://uku.com.ua/plem_work/breed_fci/01.html,,
142,Словацький Чувач,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Slovakia,https://uku.com.ua/plem_work/breed_fci/01.html,,
143,Доберман,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/standard_ua/02/doberman.html,,
144,Німецький Боксер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Germany,https://uku.com.ua/plem_work/breed_fci/02.html,,
145,Леонбергер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Germany,https://uku.com.ua/plem_work/breed_fci/02.html,,
146,Родезійський Риджбек,Гончаки по кров’яному сліду та споріднені породи,Споріднені породи,,South Africa,https://uku.com.ua/plem_work/breed_fci/06.html,,
147,Ротвейлер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Germany,https://uku.com.ua/plem_work/standard_ua/02/rottweiler.html,,
148,Такса,Такси,,,Germany,https://uku.com.ua/plem_work/breed_fci/04.html,,https://uku.com.ua/plem_work/standard_ua/04/taksa.pdf
149,Англійський Бульдог,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Great Britain,https://uku.com.ua/plem_work/breed_fci/02.html,,
150,Сербський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Serbia,https://uku.com.ua/plem_work/breed_fci/06.html,,
151,Істрийський Короткошерстий Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Croatia,https://uku.com.ua/plem_work/breed_fci/06.html,,
